inst,succ gSAT2,of,steps gSAT2,awg fined gSAT2,mu gSAT2,sig^2 gSAT2
uf20-01.cnf,1000,1000,49.808,49.808,3.53976,0.79568
uf20-02.cnf,1000,1000,29.533,29.533,3.08874,0.6178
uf20-03.cnf,978,1000,258.752,555.752,4.73653,1.6794
uf20-04.cnf,990,1000,247.485,382.485,4.67354,1.95695
uf20-05.cnf,1000,1000,68.106,68.106,3.8343,0.80363
uf20-06.cnf,990,1000,268.702,403.702,4.61496,2.44089
uf20-07.cnf,1000,1000,60.526,60.526,3.22956,1.22943
uf20-08.cnf,999,1000,154.544,168.044,4.40324,1.385
uf20-09.cnf,770,1000,688.619,3793.619,5.26559,2.5637
uf20-010.cnf,1000,1000,77.07,77.07,3.6228,1.42856
uf20-011.cnf,1000,1000,33.995,33.995,3.03095,0.87099
uf20-012.cnf,1000,1000,17.915,17.915,2.57745,0.52675
uf20-013.cnf,955,1000,309.266,916.766,4.50255,2.37313
uf20-014.cnf,1000,1000,107.103,107.103,4.05531,1.38955
uf20-015.cnf,1000,1000,50.571,50.571,3.33807,1.07599
uf20-016.cnf,1000,1000,63.833,63.833,3.70154,0.94759
uf20-017.cnf,1000,1000,58.259,58.259,3.58054,0.94743
uf20-018.cnf,998,1000,185.144,212.144,4.57893,1.45465
uf20-019.cnf,1000,1000,116.199,116.199,4.08882,1.36616
uf20-020.cnf,1000,1000,60.229,60.229,3.64358,0.91349
uf20-021.cnf,1000,1000,87.447,87.447,3.88029,1.185
uf20-022.cnf,1000,1000,127.618,127.618,4.14766,1.51558
uf20-023.cnf,1000,1000,87.223,87.223,3.82965,1.33537
uf20-024.cnf,981,1000,268.084,524.584,4.57178,2.27595
uf20-025.cnf,999,1000,230.212,243.712,4.79787,1.58456
uf20-026.cnf,1000,1000,139.786,139.786,4.40534,1.16752
uf20-027.cnf,1000,1000,57.949,57.949,3.51566,1.06145
uf20-028.cnf,1000,1000,77.059,77.059,3.78579,1.15861
uf20-029.cnf,983,1000,273.627,503.127,4.7441,1.95505
uf20-030.cnf,1000,1000,37.492,37.492,3.16829,0.88303
uf20-031.cnf,986,1000,326.217,515.217,5.15599,1.57193
uf20-032.cnf,994,1000,291.415,372.415,4.97264,1.83828
uf20-033.cnf,1000,1000,58.1,58.1,3.57521,1.03256
uf20-034.cnf,1000,1000,48.35,48.35,3.16868,1.14216
uf20-035.cnf,1000,1000,115.487,115.487,4.05454,1.51048
uf20-036.cnf,998,1000,158.283,185.283,4.33133,1.72863
uf20-037.cnf,881,1000,507.536,2114.036,5.06255,2.39823
uf20-038.cnf,1000,1000,17.685,17.685,2.65451,0.41573
uf20-039.cnf,1000,1000,106.872,106.872,4.05102,1.33587
uf20-040.cnf,999,1000,164.526,178.026,4.42265,1.61768
uf20-041.cnf,1000,1000,98.044,98.044,4.17324,0.92524
uf20-042.cnf,1000,1000,78.532,78.532,3.89081,0.96703
uf20-043.cnf,820,1000,616.306,3046.306,5.08516,2.85844
uf20-044.cnf,1000,1000,109.846,109.846,3.9906,1.59402
uf20-045.cnf,1000,1000,47.59,47.59,3.51837,0.71685
uf20-046.cnf,1000,1000,35.913,35.913,3.16974,0.81824
uf20-047.cnf,1000,1000,79.541,79.541,3.79659,1.17748
uf20-048.cnf,1000,1000,180.438,180.438,4.63587,1.38615
uf20-049.cnf,973,1000,217.018,581.518,4.44494,1.57534
uf20-050.cnf,970,1000,373.899,778.899,5.2414,1.59134
uf20-051.cnf,999,1000,145.561,159.061,4.18641,1.6234
uf20-052.cnf,1000,1000,73.119,73.119,3.70882,1.19961
uf20-053.cnf,1000,1000,174.489,174.489,4.52416,1.52086
uf20-054.cnf,1000,1000,71.45,71.45,3.71199,1.23609
uf20-055.cnf,999,1000,71.97,85.47,3.46375,1.37585
uf20-056.cnf,998,1000,97.517,124.517,3.59706,1.58213
uf20-057.cnf,1000,1000,48.93,48.93,3.46826,0.87784
uf20-058.cnf,1000,1000,30.24,30.24,3.09637,0.62956
