inst,succ probSAT,of,steps probSAT,awg fined probSAT,mu probSAT,sig^2 probSAT
uf20-01.cnf,1000,1000,54.826,54.826,3.60787,0.83406
uf20-02.cnf,1000,1000,29.094,29.094,3.0775,0.60395
uf20-03.cnf,1000,1000,144.24,144.24,4.47701,1.10305
uf20-04.cnf,1000,1000,141.347,141.347,4.35535,1.42688
uf20-05.cnf,1000,1000,68.472,68.472,3.87475,0.76444
uf20-06.cnf,1000,1000,113.24,113.24,4.17877,1.32613
uf20-07.cnf,1000,1000,38.33,38.33,3.16728,0.83721
uf20-08.cnf,1000,1000,114.681,114.681,4.21694,1.18128
uf20-09.cnf,948,1000,439.235,1141.235,5.22037,2.09768
uf20-010.cnf,1000,1000,46.389,46.389,3.41289,0.88671
uf20-011.cnf,1000,1000,30.189,30.189,3.06359,0.69791
uf20-012.cnf,1000,1000,16.702,16.702,2.58455,0.43331
uf20-013.cnf,1000,1000,120.139,120.139,4.1079,1.41017
uf20-014.cnf,1000,1000,78.238,78.238,3.91618,0.98373
uf20-015.cnf,1000,1000,34.879,34.879,3.18171,0.71146
uf20-016.cnf,1000,1000,61.651,61.651,3.66137,0.92903
uf20-017.cnf,1000,1000,42.741,42.741,3.42961,0.68826
uf20-018.cnf,1000,1000,171.615,171.615,4.56924,1.3354
uf20-019.cnf,1000,1000,85.858,85.858,3.94904,1.09158
uf20-020.cnf,1000,1000,40.852,40.852,3.412,0.61913
uf20-021.cnf,1000,1000,57.461,57.461,3.68585,0.77851
uf20-022.cnf,1000,1000,80.377,80.377,3.84855,1.10167
uf20-023.cnf,1000,1000,55.331,55.331,3.55581,0.96068
uf20-024.cnf,999,1000,167.396,180.896,4.36849,1.68556
uf20-025.cnf,1000,1000,155.148,155.148,4.46805,1.27937
uf20-026.cnf,1000,1000,94.052,94.052,4.15354,0.85934
uf20-027.cnf,1000,1000,41.699,41.699,3.37536,0.7249
uf20-028.cnf,1000,1000,62.619,62.619,3.68382,0.91415
uf20-029.cnf,1000,1000,112.936,112.936,4.24771,1.08154
uf20-030.cnf,1000,1000,34.499,34.499,3.17061,0.73803
uf20-031.cnf,986,1000,331.314,520.314,5.15242,1.61073
uf20-032.cnf,993,1000,237.018,331.518,4.83526,1.53337
uf20-033.cnf,1000,1000,46.098,46.098,3.51466,0.66958
uf20-034.cnf,1000,1000,30.363,30.363,2.97449,0.78124
uf20-035.cnf,1000,1000,78.321,78.321,3.93386,0.96901
uf20-036.cnf,1000,1000,100.607,100.607,4.10342,1.13968
uf20-037.cnf,985,1000,331.212,533.712,5.04747,1.83982
uf20-038.cnf,1000,1000,18.061,18.061,2.66825,0.43842
uf20-039.cnf,1000,1000,72.274,72.274,3.86354,0.86941
uf20-040.cnf,1000,1000,96.41,96.41,4.0911,1.10589
uf20-041.cnf,1000,1000,78.448,78.448,3.99311,0.82274
uf20-042.cnf,1000,1000,60.198,60.198,3.73915,0.77364
uf20-043.cnf,986,1000,306.438,495.438,4.82856,2.16445
uf20-044.cnf,1000,1000,74.223,74.223,3.81103,1.05866
uf20-045.cnf,1000,1000,47.517,47.517,3.5322,0.70921
uf20-046.cnf,1000,1000,33.854,33.854,3.17788,0.70654
uf20-047.cnf,1000,1000,68.939,68.939,3.80341,0.92835
uf20-048.cnf,1000,1000,173.596,173.596,4.58682,1.34423
uf20-049.cnf,1000,1000,115.439,115.439,4.23965,1.05046
uf20-050.cnf,1000,1000,196.626,196.626,4.76862,1.23385
uf20-051.cnf,1000,1000,74.932,74.932,3.89171,0.92349
uf20-052.cnf,1000,1000,56.12,56.12,3.58513,0.93116
uf20-053.cnf,1000,1000,97.964,97.964,4.11379,1.04118
uf20-054.cnf,1000,1000,52.483,52.483,3.5408,0.9166
uf20-055.cnf,1000,1000,60.004,60.004,3.48014,1.12854
uf20-056.cnf,1000,1000,56.134,56.134,3.45532,1.03395
uf20-057.cnf,1000,1000,47.826,47.826,3.51696,0.75563
uf20-058.cnf,1000,1000,26.448,26.448,3.04005,0.4948
uf20-059.cnf,989,1000,318.948,467.448,5.01272,1.87766
uf20-060.cnf,1000,1000,83.888,83.888,3.93871,1.06483
uf20-061.cnf,1000,1000,111.685,111.685,4.27141,1.04107
uf20-062.cnf,1000,1000,36.579,36.579,3.26691,0.708
uf20-063.cnf,1000,1000,38.414,38.414,3.31076,0.68492
uf20-064.cnf,1000,1000,79.726,79.726,3.78168,1.2553
uf20-065.cnf,1000,1000,44.435,44.435,3.50258,0.64971
uf20-066.cnf,1000,1000,62.385,62.385,3.66884,0.97372
uf20-067.cnf,1000,1000,28.01,28.01,3.01009,0.67068
uf20-068.cnf,1000,1000,44.73,44.73,3.43803,0.76076
uf20-069.cnf,1000,1000,84.542,84.542,3.99507,0.97904
uf20-070.cnf,1000,1000,25.602,25.602,2.88466,0.68664
uf20-071.cnf,1000,1000,37.668,37.668,3.29054,0.68547
uf20-072.cnf,1000,1000,54.23,54.23,3.63872,0.77298
uf20-073.cnf,1000,1000,126.045,126.045,4.26205,1.2907
uf20-074.cnf,1000,1000,158.919,158.919,4.53518,1.22827
uf20-075.cnf,1000,1000,29.72,29.72,3.08726,0.58599
uf20-076.cnf,1000,1000,106.208,106.208,4.2553,0.95109
uf20-077.cnf,1000,1000,60.444,60.444,3.65959,0.93191
uf20-078.cnf,1000,1000,43.048,43.048,3.40297,0.76549
uf20-079.cnf,1000,1000,22.416,22.416,2.82872,0.56463
uf20-080.cnf,1000,1000,22.704,22.704,2.85498,0.51731
uf20-081.cnf,1000,1000,96.983,96.983,4.18321,0.89232
uf20-082.cnf,1000,1000,50.927,50.927,3.45687,0.974
uf20-083.cnf,1000,1000,35.036,35.036,3.22461,0.64268
uf20-084.cnf,1000,1000,124.8,124.8,4.1458,1.53352
uf20-085.cnf,999,1000,218.67,232.17,4.73291,1.62719
uf20-086.cnf,1000,1000,32.488,32.488,3.22991,0.5097
uf20-087.cnf,1000,1000,47.676,47.676,3.40458,0.88601
uf20-088.cnf,1000,1000,43.256,43.256,3.34503,0.86685
uf20-089.cnf,1000,1000,49.792,49.792,3.45632,0.90257
uf20-090.cnf,1000,1000,28.699,28.699,3.11537,0.48384
uf20-091.cnf,1000,1000,169.562,169.562,4.60655,1.25825
uf20-092.cnf,1000,1000,52.255,52.255,3.66622,0.60483
uf20-093.cnf,1000,1000,74.468,74.468,3.85857,0.98209
uf20-094.cnf,1000,1000,147.332,147.332,4.43962,1.26181
uf20-095.cnf,1000,1000,200.077,200.077,4.65229,1.55731
uf20-096.cnf,1000,1000,185.87,185.87,4.73344,1.22892
uf20-097.cnf,1000,1000,126.129,126.129,4.05059,1.78125
uf20-098.cnf,1000,1000,65.57,65.57,3.71286,0.94622
uf20-099.cnf,1000,1000,56.029,56.029,3.60711,0.89287
uf20-0100.cnf,1000,1000,52.264,52.264,3.65449,0.63438
uf20-0101.cnf,1000,1000,64.681,64.681,3.77025,0.88752
uf20-0102.cnf,1000,1000,99.652,99.652,4.17731,0.99451
uf20-0103.cnf,1000,1000,165.538,165.538,4.58218,1.24345
uf20-0104.cnf,1000,1000,44.18,44.18,3.19821,1.06962
uf20-0105.cnf,1000,1000,145.49,145.49,4.48433,1.13131
uf20-0106.cnf,999,1000,183.861,197.361,4.70104,1.20022
uf20-0107.cnf,1000,1000,98.465,98.465,4.23167,0.80848
uf20-0108.cnf,1000,1000,64.824,64.824,3.79274,0.84158
uf20-0109.cnf,1000,1000,103.681,103.681,4.25505,0.91305
uf20-0110.cnf,1000,1000,18.748,18.748,2.67934,0.46343
uf20-0111.cnf,1000,1000,32.576,32.576,3.2254,0.55426
uf20-0112.cnf,1000,1000,76.601,76.601,3.85695,1.05777
uf20-0113.cnf,1000,1000,136.698,136.698,4.40387,1.17431
uf20-0114.cnf,1000,1000,35.206,35.206,3.23219,0.66564
uf20-0115.cnf,1000,1000,57.451,57.451,3.65285,0.86024
uf20-0116.cnf,1000,1000,79.582,79.582,3.87691,1.05777
uf20-0117.cnf,1000,1000,104.269,104.269,4.2216,0.95782
uf20-0118.cnf,1000,1000,22.062,22.062,2.84879,0.50127
uf20-0119.cnf,1000,1000,185.251,185.251,4.58316,1.60576
uf20-0120.cnf,1000,1000,63.842,63.842,3.58833,1.15644
uf20-0121.cnf,1000,1000,44.457,44.457,3.38199,0.83604
uf20-0122.cnf,1000,1000,134.904,134.904,4.21265,1.54306
uf20-0123.cnf,1000,1000,89.915,89.915,3.94242,1.15627
uf20-0124.cnf,1000,1000,18.502,18.502,2.63775,0.52713
uf20-0125.cnf,1000,1000,25.711,25.711,2.99556,0.53248
uf20-0126.cnf,1000,1000,94.075,94.075,4.01224,1.20891
uf20-0127.cnf,1000,1000,24.731,24.731,2.9304,0.52738
uf20-0128.cnf,1000,1000,64.463,64.463,3.7068,0.92155
uf20-0129.cnf,1000,1000,128.598,128.598,4.11637,1.65073
uf20-0130.cnf,1000,1000,53.95,53.95,3.64298,0.75016
uf20-0131.cnf,1000,1000,13.657,13.657,2.40584,0.39595
uf20-0132.cnf,1000,1000,102.529,102.529,4.25999,0.83286
uf20-0133.cnf,1000,1000,60.86,60.86,3.68298,0.87925
uf20-0134.cnf,1000,1000,24.898,24.898,2.97644,0.49278
uf20-0135.cnf,1000,1000,139.054,139.054,4.45326,1.14626
uf20-0136.cnf,1000,1000,132.706,132.706,4.22401,1.57388
uf20-0137.cnf,1000,1000,20.542,20.542,2.73494,0.55441
uf20-0138.cnf,1000,1000,142.661,142.661,4.32545,1.49092
uf20-0139.cnf,1000,1000,38.621,38.621,3.25325,0.813
uf20-0140.cnf,1000,1000,69.066,69.066,3.69842,1.08513
uf20-0141.cnf,1000,1000,138.318,138.318,4.39396,1.20725
uf20-0142.cnf,1000,1000,35.786,35.786,3.21997,0.73075
uf20-0143.cnf,1000,1000,19.511,19.511,2.73021,0.4692
uf20-0144.cnf,1000,1000,30.136,30.136,3.04934,0.71765
uf20-0145.cnf,1000,1000,51.674,51.674,3.62622,0.70694
uf20-0146.cnf,1000,1000,55.857,55.857,3.52659,0.96705
uf20-0147.cnf,1000,1000,110.216,110.216,4.27794,0.97302
uf20-0148.cnf,1000,1000,46.533,46.533,3.50136,0.69448
uf20-0149.cnf,1000,1000,89.089,89.089,3.82645,1.48903
uf20-0150.cnf,1000,1000,44.575,44.575,3.40278,0.77845
uf20-0151.cnf,1000,1000,38.648,38.648,3.35319,0.60229
uf20-0152.cnf,1000,1000,26.711,26.711,3.01648,0.55041
uf20-0153.cnf,1000,1000,17.315,17.315,2.63935,0.42862
uf20-0154.cnf,1000,1000,99.408,99.408,4.19575,0.91176
uf20-0155.cnf,1000,1000,25.872,25.872,2.961,0.59128
uf20-0156.cnf,1000,1000,51.359,51.359,3.47179,0.95075
uf20-0157.cnf,1000,1000,66.456,66.456,3.81833,0.82724
uf20-0158.cnf,1000,1000,48.792,48.792,3.44313,0.89231
uf20-0159.cnf,1000,1000,108.075,108.075,4.13477,1.27515
uf20-0160.cnf,997,1000,182.247,222.747,4.47059,1.73611
uf20-0161.cnf,1000,1000,52.162,52.162,3.58234,0.82469
uf20-0162.cnf,1000,1000,23.041,23.041,2.88942,0.52318
uf20-0163.cnf,1000,1000,29.878,29.878,3.12273,0.5697
uf20-0164.cnf,1000,1000,18.427,18.427,2.71585,0.40618
uf20-0165.cnf,1000,1000,31.63,31.63,3.09178,0.69044
uf20-0166.cnf,1000,1000,90.933,90.933,4.0795,0.98185
uf20-0167.cnf,1000,1000,122.021,122.021,4.38073,0.96766
uf20-0168.cnf,1000,1000,58.393,58.393,3.59027,0.91416
uf20-0169.cnf,1000,1000,30.908,30.908,3.1247,0.60978
uf20-0170.cnf,1000,1000,40.086,40.086,3.40735,0.60796
uf20-0171.cnf,1000,1000,36.341,36.341,3.25914,0.68979
uf20-0172.cnf,1000,1000,188.579,188.579,4.71155,1.33315
uf20-0173.cnf,1000,1000,49.306,49.306,3.51249,0.79447
uf20-0174.cnf,1000,1000,47.802,47.802,3.49542,0.76723
uf20-0175.cnf,1000,1000,64.684,64.684,3.68564,1.00116
uf20-0176.cnf,999,1000,200.635,214.135,4.75785,1.28825
uf20-0177.cnf,1000,1000,121.924,121.924,4.27009,1.20266
uf20-0178.cnf,1000,1000,58.427,58.427,3.73228,0.74144
uf20-0179.cnf,1000,1000,46.419,46.419,3.49225,0.72053
uf20-0180.cnf,1000,1000,136.334,136.334,4.43267,1.13224
uf20-0181.cnf,1000,1000,45.624,45.624,3.43378,0.8196
uf20-0182.cnf,1000,1000,32.997,32.997,3.20991,0.5744
uf20-0183.cnf,1000,1000,104.844,104.844,4.19753,1.07581
uf20-0184.cnf,1000,1000,52.918,52.918,3.58876,0.83694
uf20-0185.cnf,999,1000,143.606,157.106,4.3621,1.3123
uf20-0186.cnf,1000,1000,37.044,37.044,3.35592,0.52999
uf20-0187.cnf,1000,1000,41.638,41.638,3.33897,0.78252
uf20-0188.cnf,1000,1000,60.118,60.118,3.59371,1.00767
uf20-0189.cnf,1000,1000,42.517,42.517,3.38969,0.73378
uf20-0190.cnf,1000,1000,27.948,27.948,3.04282,0.5872
uf20-0191.cnf,1000,1000,97.345,97.345,4.14074,1.00861
uf20-0192.cnf,988,1000,320.271,482.271,5.1024,1.75291
uf20-0193.cnf,993,1000,267.649,362.149,4.89494,1.74029
uf20-0194.cnf,1000,1000,45.0,45.0,3.36532,0.89448
uf20-0195.cnf,1000,1000,25.133,25.133,2.9614,0.52987
uf20-0196.cnf,1000,1000,45.852,45.852,3.48331,0.70058
uf20-0197.cnf,1000,1000,136.694,136.694,4.41843,1.17901
uf20-0198.cnf,1000,1000,47.543,47.543,3.58359,0.60324
uf20-0199.cnf,1000,1000,44.597,44.597,3.51117,0.62072
uf20-0200.cnf,1000,1000,71.437,71.437,3.80307,1.05537
uf20-0201.cnf,1000,1000,85.414,85.414,3.98203,1.05488
uf20-0202.cnf,1000,1000,48.498,48.498,3.55147,0.68406
uf20-0203.cnf,1000,1000,110.654,110.654,4.22996,1.0445
uf20-0204.cnf,1000,1000,26.057,26.057,3.04565,0.43819
uf20-0205.cnf,1000,1000,66.733,66.733,3.66345,1.10452
uf20-0206.cnf,1000,1000,48.459,48.459,3.4726,0.82759
uf20-0207.cnf,1000,1000,94.17,94.17,4.12905,0.95338
uf20-0208.cnf,1000,1000,20.808,20.808,2.80615,0.46039
uf20-0209.cnf,991,1000,264.516,386.016,4.7138,1.95018
uf20-0210.cnf,1000,1000,17.713,17.713,2.63179,0.4818
uf20-0211.cnf,1000,1000,47.454,47.454,3.40892,0.90325
uf20-0212.cnf,1000,1000,39.0,39.0,3.27256,0.81486
uf20-0213.cnf,1000,1000,59.006,59.006,3.66482,0.88158
uf20-0214.cnf,1000,1000,73.962,73.962,3.95485,0.76048
uf20-0215.cnf,1000,1000,23.6,23.6,2.87297,0.57258
uf20-0216.cnf,997,1000,212.908,253.408,4.66563,1.69371
uf20-0217.cnf,1000,1000,47.06,47.06,3.45509,0.83288
uf20-0218.cnf,1000,1000,25.93,25.93,2.92522,0.65916
uf20-0219.cnf,1000,1000,131.837,131.837,4.39947,1.11871
uf20-0220.cnf,1000,1000,44.18,44.18,3.44199,0.70377
uf20-0221.cnf,1000,1000,79.023,79.023,3.7531,1.26286
uf20-0222.cnf,1000,1000,83.018,83.018,3.91943,1.13273
uf20-0223.cnf,1000,1000,51.596,51.596,3.61397,0.70893
uf20-0224.cnf,1000,1000,166.177,166.177,4.62568,1.18402
uf20-0225.cnf,1000,1000,101.947,101.947,4.08612,1.20588
uf20-0226.cnf,1000,1000,23.569,23.569,2.88495,0.55548
uf20-0227.cnf,1000,1000,35.094,35.094,3.21687,0.68652
uf20-0228.cnf,997,1000,141.502,182.002,4.15611,1.55586
