inst,succ gSAT2,succ probSAT,of,steps gSAT2,steps probSAT,awg fined gSAT2,awg fined probSAT,mu gSAT2,sig^2 gSAT2,mu probSAT,sig^2 probSAT,xing,winner
uf20-01.cnf,1000,1000,1000,49.808,54.826,49.808,54.826,3.53976,0.79568,3.60787,0.83406,10,gSAT2
uf20-02.cnf,1000,1000,1000,29.533,29.094,29.533,29.094,3.08874,0.6178,3.0775,0.60395,143,gSAT2
uf20-03.cnf,978,1000,1000,258.752,144.24,555.752,144.24,4.73653,1.6794,4.47701,1.10305,28,probSAT
uf20-04.cnf,990,1000,1000,247.485,141.347,382.485,141.347,4.67354,1.95695,4.35535,1.42688,None,probSAT
uf20-05.cnf,1000,1000,1000,68.106,68.472,68.106,68.472,3.8343,0.80363,3.87475,0.76444,183,probSAT
uf20-06.cnf,990,1000,1000,268.702,113.24,403.702,113.24,4.61496,2.44089,4.17877,1.32613,38,probSAT
uf20-07.cnf,1000,1000,1000,60.526,38.33,60.526,38.33,3.22956,1.22943,3.16728,0.83721,46,probSAT
uf20-08.cnf,999,1000,1000,154.544,114.681,168.044,114.681,4.40324,1.385,4.21694,1.18128,33,probSAT
uf20-09.cnf,770,948,1000,688.619,439.235,3793.619,1141.235,5.26559,2.5637,5.22037,2.09768,46,probSAT
uf20-010.cnf,1000,1000,1000,77.07,46.389,77.07,46.389,3.6228,1.42856,3.41289,0.88671,29,probSAT
uf20-011.cnf,1000,1000,1000,33.995,30.189,33.995,30.189,3.03095,0.87099,3.06359,0.69791,45,probSAT
uf20-012.cnf,1000,1000,1000,17.915,16.702,17.915,16.702,2.57745,0.52675,2.58455,0.43331,25,probSAT
uf20-013.cnf,955,1000,1000,309.266,120.139,916.766,120.139,4.50255,2.37313,4.1079,1.41017,21,probSAT
uf20-014.cnf,1000,1000,1000,107.103,78.238,107.103,78.238,4.05531,1.38955,3.91618,0.98373,27,probSAT
uf20-015.cnf,1000,1000,1000,50.571,34.879,50.571,34.879,3.33807,1.07599,3.18171,0.71146,11,probSAT
uf20-016.cnf,1000,1000,1000,63.833,61.651,63.833,61.651,3.70154,0.94759,3.66137,0.92903,435,probSAT
uf20-017.cnf,1000,1000,1000,58.259,42.741,58.259,42.741,3.58054,0.94743,3.42961,0.68826,13,probSAT
uf20-018.cnf,998,1000,1000,185.144,171.615,212.144,171.615,4.57893,1.45465,4.56924,1.3354,1189,probSAT
uf20-019.cnf,1000,1000,1000,116.199,85.858,116.199,85.858,4.08882,1.36616,3.94904,1.09158,38,probSAT
uf20-020.cnf,1000,1000,1000,60.229,40.852,60.229,40.852,3.64358,0.91349,3.412,0.61913,8,probSAT
uf20-021.cnf,1000,1000,1000,87.447,57.461,87.447,57.461,3.88029,1.185,3.68585,0.77851,39,probSAT
uf20-022.cnf,1000,1000,1000,127.618,80.377,127.618,80.377,4.14766,1.51558,3.84855,1.10167,9,probSAT
uf20-023.cnf,1000,1000,1000,87.223,55.331,87.223,55.331,3.82965,1.33537,3.55581,0.96068,3,probSAT
uf20-024.cnf,981,999,1000,268.084,167.396,524.584,180.896,4.57178,2.27595,4.36849,1.68556,38,probSAT
uf20-025.cnf,999,1000,1000,230.212,155.148,243.712,155.148,4.79787,1.58456,4.46805,1.27937,15,probSAT
uf20-026.cnf,1000,1000,1000,139.786,94.052,139.786,94.052,4.40534,1.16752,4.15354,0.85934,17,probSAT
uf20-027.cnf,1000,1000,1000,57.949,41.699,57.949,41.699,3.51566,1.06145,3.37536,0.7249,460,gSAT2
uf20-028.cnf,1000,1000,1000,77.059,62.619,77.059,62.619,3.78579,1.15861,3.68382,0.91415,559,probSAT
uf20-029.cnf,983,1000,1000,273.627,112.936,503.127,112.936,4.7441,1.95505,4.24771,1.08154,6,probSAT
uf20-030.cnf,1000,1000,1000,37.492,34.499,37.492,34.499,3.16829,0.88303,3.17061,0.73803,26,probSAT
uf20-031.cnf,986,986,1000,326.217,331.314,515.217,520.314,5.15599,1.57193,5.15242,1.61073,1424,probSAT
uf20-032.cnf,994,993,1000,291.415,237.018,372.415,331.518,4.97264,1.83828,4.83526,1.53337,1370,gSAT2
uf20-033.cnf,1000,1000,1000,58.1,46.098,58.1,46.098,3.57521,1.03256,3.51466,0.66958,27,probSAT
uf20-034.cnf,1000,1000,1000,48.35,30.363,48.35,30.363,3.16868,1.14216,2.97449,0.78124,None,probSAT
uf20-035.cnf,1000,1000,1000,115.487,78.321,115.487,78.321,4.05454,1.51048,3.93386,0.96901,56,probSAT
uf20-036.cnf,998,1000,1000,158.283,100.607,185.283,100.607,4.33133,1.72863,4.10342,1.13968,32,probSAT
uf20-037.cnf,881,985,1000,507.536,331.212,2114.036,533.712,5.06255,2.39823,5.04747,1.83982,103,probSAT
uf20-038.cnf,1000,1000,1000,17.685,18.061,17.685,18.061,2.65451,0.41573,2.66825,0.43842,96,gSAT2
uf20-039.cnf,1000,1000,1000,106.872,72.274,106.872,72.274,4.05102,1.33587,3.86354,0.86941,38,probSAT
uf20-040.cnf,999,1000,1000,164.526,96.41,178.026,96.41,4.42265,1.61768,4.0911,1.10589,24,probSAT
uf20-041.cnf,1000,1000,1000,98.044,78.448,98.044,78.448,4.17324,0.92524,3.99311,0.82274,14,probSAT
uf20-042.cnf,1000,1000,1000,78.532,60.198,78.532,60.198,3.89081,0.96703,3.73915,0.77364,18,probSAT
uf20-043.cnf,820,986,1000,616.306,306.438,3046.306,495.438,5.08516,2.85844,4.82856,2.16445,16,probSAT
uf20-044.cnf,1000,1000,1000,109.846,74.223,109.846,74.223,3.9906,1.59402,3.81103,1.05866,29,probSAT
uf20-045.cnf,1000,1000,1000,47.59,47.517,47.59,47.517,3.51837,0.71685,3.5322,0.70921,203,probSAT
uf20-046.cnf,1000,1000,1000,35.913,33.854,35.913,33.854,3.16974,0.81824,3.17788,0.70654,63,probSAT
uf20-047.cnf,1000,1000,1000,79.541,68.939,79.541,68.939,3.79659,1.17748,3.80341,0.92835,77,probSAT
uf20-048.cnf,1000,1000,1000,180.438,173.596,180.438,173.596,4.63587,1.38615,4.58682,1.34423,685,gSAT2
uf20-049.cnf,973,1000,1000,217.018,115.439,581.518,115.439,4.44494,1.57534,4.23965,1.05046,29,probSAT
uf20-050.cnf,970,1000,1000,373.899,196.626,778.899,196.626,5.2414,1.59134,4.76862,1.23385,21,probSAT
uf20-051.cnf,999,1000,1000,145.561,74.932,159.061,74.932,4.18641,1.6234,3.89171,0.92349,17,probSAT
uf20-052.cnf,1000,1000,1000,73.119,56.12,73.119,56.12,3.70882,1.19961,3.58513,0.93116,19,probSAT
uf20-053.cnf,1000,1000,1000,174.489,97.964,174.489,97.964,4.52416,1.52086,4.11379,1.04118,13,probSAT
uf20-054.cnf,1000,1000,1000,71.45,52.483,71.45,52.483,3.71199,1.23609,3.5408,0.9166,15,probSAT
uf20-055.cnf,999,1000,1000,71.97,60.004,85.47,60.004,3.46375,1.37585,3.48014,1.12854,83,probSAT
uf20-056.cnf,998,1000,1000,97.517,56.134,124.517,56.134,3.59706,1.58213,3.45532,1.03395,24,probSAT
uf20-057.cnf,1000,1000,1000,48.93,47.826,48.93,47.826,3.46826,0.87784,3.51696,0.75563,331,gSAT2
uf20-058.cnf,1000,1000,1000,30.24,26.448,30.24,26.448,3.09637,0.62956,3.04005,0.4948,15,probSAT
uf20-059.cnf,889,989,1000,495.051,318.948,1993.551,467.448,5.07098,2.22573,5.01272,1.87766,48,probSAT
uf20-060.cnf,999,1000,1000,104.256,83.888,117.756,83.888,3.92868,1.35502,3.93871,1.06483,112,probSAT
uf20-061.cnf,1000,1000,1000,162.294,111.685,162.294,111.685,4.44092,1.4865,4.27141,1.04107,48,probSAT
uf20-062.cnf,1000,1000,1000,50.287,36.579,50.287,36.579,3.41041,1.02574,3.26691,0.708,17,probSAT
uf20-063.cnf,1000,1000,1000,43.043,38.414,43.043,38.414,3.36564,0.79104,3.31076,0.68492,276,gSAT2
uf20-064.cnf,1000,1000,1000,127.647,79.726,127.647,79.726,4.09501,1.66751,3.78168,1.2553,None,probSAT
uf20-065.cnf,1000,1000,1000,49.993,44.435,49.993,44.435,3.49525,0.83275,3.50258,0.64971,58,probSAT
uf20-066.cnf,997,1000,1000,130.71,62.385,171.21,62.385,3.91913,1.86316,3.66884,0.97372,32,probSAT
uf20-067.cnf,1000,1000,1000,32.398,28.01,32.398,28.01,3.07844,0.77901,3.01009,0.67068,20,probSAT
uf20-068.cnf,1000,1000,1000,61.93,44.73,61.93,44.73,3.62697,1.02433,3.43803,0.76076,7,probSAT
uf20-069.cnf,996,1000,1000,138.369,84.542,192.369,84.542,4.13247,1.52274,3.99507,0.97904,60,probSAT
uf20-070.cnf,1000,1000,1000,38.441,25.602,38.441,25.602,3.09557,1.00055,2.88466,0.68664,0,probSAT
uf20-071.cnf,1000,1000,1000,42.253,37.668,42.253,37.668,3.34703,0.81002,3.29054,0.68547,20,probSAT
uf20-072.cnf,1000,1000,1000,58.72,54.23,58.72,54.23,3.71055,0.75957,3.63872,0.77298,None,probSAT
uf20-073.cnf,999,1000,1000,203.636,126.045,217.136,126.045,4.47746,1.95412,4.26205,1.2907,46,probSAT
uf20-074.cnf,1000,1000,1000,203.922,158.919,203.922,158.919,4.76756,1.34514,4.53518,1.22827,11,probSAT
uf20-075.cnf,1000,1000,1000,39.562,29.72,39.562,29.72,3.19317,0.80893,3.08726,0.58599,18,probSAT
uf20-076.cnf,1000,1000,1000,167.362,106.208,167.362,106.208,4.49625,1.53304,4.2553,0.95109,36,probSAT
uf20-077.cnf,1000,1000,1000,98.365,60.444,98.365,60.444,3.89778,1.48954,3.65959,0.93191,21,probSAT
uf20-078.cnf,1000,1000,1000,49.599,43.048,49.599,43.048,3.39281,1.02252,3.40297,0.76549,39,probSAT
uf20-079.cnf,1000,1000,1000,26.621,22.416,26.621,22.416,2.90354,0.73255,2.82872,0.56463,9,probSAT
uf20-080.cnf,1000,1000,1000,24.387,22.704,24.387,22.704,2.83118,0.62379,2.85498,0.51731,52,probSAT
uf20-081.cnf,1000,1000,1000,113.171,96.983,113.171,96.983,4.18866,1.14551,4.18321,0.89232,96,probSAT
uf20-082.cnf,1000,1000,1000,58.529,50.927,58.529,50.927,3.52116,1.14353,3.45687,0.974,17,probSAT
uf20-083.cnf,1000,1000,1000,41.287,35.036,41.287,35.036,3.31833,0.76715,3.22461,0.64268,10,probSAT
uf20-084.cnf,951,1000,1000,316.374,124.8,977.874,124.8,4.49863,2.48145,4.1458,1.53352,None,probSAT
