inst,xing,winner
uf20-01.cnf,10,gSAT2
uf20-02.cnf,143,gSAT2
uf20-03.cnf,28,probSAT
uf20-04.cnf,None,probSAT
uf20-05.cnf,183,probSAT
uf20-06.cnf,38,probSAT
uf20-07.cnf,46,probSAT
uf20-08.cnf,33,probSAT
uf20-09.cnf,46,probSAT
uf20-010.cnf,29,probSAT
uf20-011.cnf,45,probSAT
uf20-012.cnf,25,probSAT
uf20-013.cnf,21,probSAT
uf20-014.cnf,27,probSAT
uf20-015.cnf,11,probSAT
uf20-016.cnf,435,probSAT
uf20-017.cnf,13,probSAT
uf20-018.cnf,1189,probSAT
uf20-019.cnf,38,probSAT
uf20-020.cnf,8,probSAT
uf20-021.cnf,39,probSAT
uf20-022.cnf,9,probSAT
uf20-023.cnf,3,probSAT
uf20-024.cnf,38,probSAT
uf20-025.cnf,15,probSAT
uf20-026.cnf,17,probSAT
uf20-027.cnf,460,gSAT2
uf20-028.cnf,559,probSAT
uf20-029.cnf,6,probSAT
uf20-030.cnf,26,probSAT
uf20-031.cnf,1424,probSAT
uf20-032.cnf,1370,gSAT2
uf20-033.cnf,27,probSAT
uf20-034.cnf,None,probSAT
uf20-035.cnf,56,probSAT
uf20-036.cnf,32,probSAT
uf20-037.cnf,103,probSAT
uf20-038.cnf,96,gSAT2
uf20-039.cnf,38,probSAT
uf20-040.cnf,24,probSAT
uf20-041.cnf,14,probSAT
uf20-042.cnf,18,probSAT
uf20-043.cnf,16,probSAT
uf20-044.cnf,29,probSAT
uf20-045.cnf,203,probSAT
uf20-046.cnf,63,probSAT
uf20-047.cnf,77,probSAT
uf20-048.cnf,685,gSAT2
uf20-049.cnf,29,probSAT
uf20-050.cnf,21,probSAT
uf20-051.cnf,17,probSAT
uf20-052.cnf,19,probSAT
uf20-053.cnf,13,probSAT
uf20-054.cnf,15,probSAT
uf20-055.cnf,83,probSAT
uf20-056.cnf,24,probSAT
uf20-057.cnf,331,gSAT2
uf20-058.cnf,15,probSAT
uf20-059.cnf,48,probSAT
uf20-060.cnf,112,probSAT
uf20-061.cnf,48,probSAT
uf20-062.cnf,17,probSAT
uf20-063.cnf,276,gSAT2
uf20-064.cnf,None,probSAT
uf20-065.cnf,58,probSAT
uf20-066.cnf,32,probSAT
uf20-067.cnf,20,probSAT
uf20-068.cnf,7,probSAT
uf20-069.cnf,60,probSAT
uf20-070.cnf,0,probSAT
uf20-071.cnf,20,probSAT
uf20-072.cnf,None,probSAT
uf20-073.cnf,46,probSAT
uf20-074.cnf,11,probSAT
uf20-075.cnf,18,probSAT
uf20-076.cnf,36,probSAT
uf20-077.cnf,21,probSAT
uf20-078.cnf,39,probSAT
uf20-079.cnf,9,probSAT
uf20-080.cnf,52,probSAT
uf20-081.cnf,96,probSAT
uf20-082.cnf,17,probSAT
uf20-083.cnf,10,probSAT
uf20-084.cnf,None,probSAT
uf20-085.cnf,49,probSAT
uf20-086.cnf,132,gSAT2
uf20-087.cnf,26,probSAT
uf20-088.cnf,9,probSAT
uf20-089.cnf,52,probSAT
uf20-090.cnf,19,probSAT
uf20-091.cnf,56,probSAT
uf20-092.cnf,28,probSAT
uf20-093.cnf,16,probSAT
uf20-094.cnf,57,probSAT
uf20-095.cnf,13,probSAT
uf20-096.cnf,None,probSAT
uf20-097.cnf,2,probSAT
uf20-098.cnf,19,probSAT
uf20-099.cnf,21,probSAT
