,instance,init_temperature,min_temperature,cooling_coefficient,equilibrium,cost_coefficient,relative_absolute_error,is_instance_optimal,cost,weight,is_solution
0,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.0,True,0.9999988542598869737082503861,20150,True
1,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9953395875161440855179074256,18484,False
2,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999571493197717485928879479,19240,True
3,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9953812466266546436953611390,19393,False
4,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9953743263563718190069547306,19242,False
5,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999780017898292960227840150,19695,True
6,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999641154196591099636327773,19392,True
7,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9998877632985252247238998761,17726,True
8,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9950482487201968773474807428,12127,False
9,wuf50-01,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9952771217651803863373257622,17121,False
10,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9951739285010119224553234663,19061,False
11,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9952818363897384081295509796,21416,False
12,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999651762227464583038489777,23627,True
13,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9952144798732084783074776562,19946,False
14,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999854748192245806946699239,24070,True
15,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999651762227464583038489777,23627,True
16,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9951671470285994489123186145,18913,False
17,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9954035363270877646155012517,24072,False
18,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9952953535138039267469357095,21711,False
19,wuf50-02,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9952953993345634854459920477,21712,False
20,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999407031117072513309975450,21317,True
21,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999457438054570527133713114,21427,True
22,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999678770334673737404458409,21910,True
23,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999477142584682984519808512,21470,True
24,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999215484754581884154193389,20899,True
25,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999681978048877848623534263,21917,True
26,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999442315973321643950712118,21394,True
27,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999462020503434101336807516,21437,True
28,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999271848875601632754743245,21022,True
29,wuf50-03,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999377245199461234605312975,21252,True
30,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999614508435687708582005474,15678,True
31,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9952328307168112581365917654,12516,False
32,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999739185850067475054421693,15950,True
33,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999739185850067475054421693,15950,True
34,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999614508435687708582005474,15678,True
35,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9952574453386942217443676063,13053,False
36,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999739185850067475054421693,15950,True
37,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999614508435687708582005474,15678,True
38,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.004587155963302725,False,0.9951952899806434503125039386,11697,False
39,wuf50-04,100000.0,0.0001,0.9,200,1e-05,0.0,True,0.9999946828749750073693172713,16403,True
40,wuf50-05,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999475591079676223658738343,14111,True
41,wuf50-05,100000.0,0.0001,0.9,200,1e-05,0.0,False,0.9999404539171764776062681996,13956,True
