name, instances, runs, satisfied_clauses, satisfied_clauses_rate, solutions_found, solutions_found rate, optimums_reached, optimums_reached_rate
whitebox_0, wuf20-91-M, 50, 49.87912087912089, 0.9975824175824178, 39, 0.78, 23, 0.46
whitebox_1, wuf20-91-M, 50, 49.956043956043956, 0.9991208791208791, 46, 0.92, 26, 0.52
whitebox_2, wuf20-91-M, 50, 49.96703296703298, 0.9993406593406595, 47, 0.94, 33, 0.66
whitebox_3, wuf20-91-M, 50, 49.86813186813187, 0.9973626373626374, 39, 0.78, 23, 0.46
whitebox_4, wuf20-91-M, 50, 49.96703296703298, 0.9993406593406595, 47, 0.94, 37, 0.74
whitebox_5, wuf20-91-M, 50, 49.85714285714286, 0.9971428571428572, 41, 0.82, 30, 0.6
whitebox_6, wuf20-91-M, 50, 49.923076923076934, 0.9984615384615387, 43, 0.86, 25, 0.5
whitebox_7, wuf20-91-M, 50, 49.96703296703298, 0.9993406593406595, 47, 0.94, 41, 0.82
whitebox_8, wuf20-91-M, 50, 49.95604395604397, 0.9991208791208794, 46, 0.92, 36, 0.72
whitebox_9, wuf20-91-M, 50, 49.1098901098901, 0.9821978021978021, 31, 0.62, 31, 0.62
whitebox_10, wuf20-91-M, 50, 50.0, 1.0, 50, 1.0, 50, 1.0
whitebox_11, wuf20-91-M, 50, 50.0, 1.0, 50, 1.0, 50, 1.0
blackbox, wuf20-91-M, 1000, 1000.0, 1.0, 1000, 1.0, 966, 0.966
whitebox_0, wuf20-91-N, 50, 49.75824175824178, 0.9951648351648356, 30, 0.6, 15, 0.3
whitebox_1, wuf20-91-N, 50, 49.8901098901099, 0.9978021978021979, 41, 0.82, 25, 0.5
whitebox_2, wuf20-91-N, 50, 49.94505494505495, 0.998901098901099, 45, 0.9, 33, 0.66
whitebox_3, wuf20-91-N, 50, 49.91208791208791, 0.9982417582417582, 43, 0.86, 24, 0.48
whitebox_4, wuf20-91-N, 50, 49.923076923076934, 0.9984615384615387, 44, 0.88, 30, 0.6
whitebox_5, wuf20-91-N, 50, 49.879120879120876, 0.9975824175824175, 43, 0.86, 36, 0.72
whitebox_6, wuf20-91-N, 50, 49.967032967032964, 0.9993406593406593, 47, 0.94, 32, 0.64
whitebox_7, wuf20-91-N, 50, 49.98901098901099, 0.9997802197802198, 49, 0.98, 45, 0.9
whitebox_8, wuf20-91-N, 50, 49.967032967032964, 0.9993406593406593, 47, 0.94, 37, 0.74
whitebox_9, wuf20-91-N, 50, 49.131868131868124, 0.9826373626373625, 30, 0.6, 30, 0.6
whitebox_10, wuf20-91-N, 50, 49.802197802197796, 0.9960439560439559, 39, 0.78, 38, 0.76
whitebox_11, wuf20-91-N, 50, 50.0, 1.0, 50, 1.0, 48, 0.96
blackbox, wuf20-91-N, 1000, 1000.0, 1.0, 1000, 1.0, 973, 0.973
whitebox_0, wuf20-91-Q, 50, 49.648351648351664, 0.9929670329670333, 22, 0.44, 15, 0.3
whitebox_1, wuf20-91-Q, 50, 49.560439560439576, 0.9912087912087916, 13, 0.26, 8, 0.16
whitebox_2, wuf20-91-Q, 50, 49.63736263736267, 0.9927472527472534, 18, 0.36, 18, 0.36
whitebox_3, wuf20-91-Q, 50, 49.51648351648353, 0.9903296703296707, 15, 0.3, 10, 0.2
whitebox_4, wuf20-91-Q, 50, 49.63736263736267, 0.9927472527472534, 22, 0.44, 21, 0.42
whitebox_5, wuf20-91-Q, 50, 49.098901098901095, 0.9819780219780219, 2, 0.04, 2, 0.04
whitebox_6, wuf20-91-Q, 50, 49.84615384615388, 0.9969230769230777, 36, 0.72, 27, 0.54
whitebox_7, wuf20-91-Q, 50, 49.813186813186846, 0.9962637362637369, 33, 0.66, 30, 0.6
whitebox_8, wuf20-91-Q, 50, 49.813186813186846, 0.9962637362637369, 35, 0.7, 31, 0.62
whitebox_9, wuf20-91-Q, 50, 46.24175824175822, 0.9248351648351644, 0, 0.0, 0, 0.0
whitebox_10, wuf20-91-Q, 50, 49.15384615384619, 0.9830769230769237, 7, 0.14, 7, 0.14
